sim,surplus_pnl_gbp
971,-10138765.614892
972,38655064.363230
973,-22686782.488120
974,13689575.900930
975,14787438.549577
976,43516939.633308
977,-29337261.749479
978,25433000.938626
979,-184545.204236
980,-9165535.005523
981,-28953769.648983
982,14914957.412778
983,29921342.488622
984,13905872.755588
985,-19370671.805387
986,-8979533.163902
987,-5185093.732948
988,14151309.980533
989,23389402.554922
990,-12092681.909222
991,-248770.045864
992,51650663.222594
993,-35788408.890160
994,53035737.732863
995,-26690820.237835
996,24036221.209151
997,25773480.999986
998,936552.184881
999,56110530.937422
